civilite;prenom;nom;classement;type_mandat;qualite;type_document;departement;date_publication;date_depot;nom_fichier;url_dossier;open_data;statut_publication;id_origine;url_photo
M.;Abdelkader;LAHMAR;LAHMAR Abdelkader27452;depute;Député du Rhône;dia;69;2025-06-17;2024-08-04;lahmar-abdelkader-dia31320-depute-69.pdf;/pages_nominatives/lahmar-abdelkader-27452;lahmar-abdelkader-dia31320-depute-69.xml;Livrée;841729;https://www.assemblee-nationale.fr/dyn/static/tribun/17/photos/841729.jpg
M.;Abdelkader;LAHMAR;LAHMAR Abdelkader27452;depute;Député du Rhône;diam;69;2025-06-18;2024-12-18;lahmar-abdelkader-diam31323-depute-69.pdf;/pages_nominatives/lahmar-abdelkader-27452;lahmar-abdelkader-diam31323-depute-69.xml;Livrée;841729;https://www.assemblee-nationale.fr/dyn/static/tribun/17/photos/841729.jpg
